rva	name	size
14671	??$__abi_winrt_ptrto_array_ctor@VGuid@Platform@@$00@@YAPAXQ$01$ADV?$Array@VGuid@Platform@@$00@Platform@@@Z	72
146b9	??$__abi_winrt_ptrto_array_ctor@VDateTime@Foundation@Windows@@$00@@YAPAXQ$01$ADV?$Array@VDateTime@Foundation@Windows@@$00@Platform@@@Z	72
14701	??$__abi_winrt_ptrto_array_ctor@VTimeSpan@Foundation@Windows@@$00@@YAPAXQ$01$ADV?$Array@VTimeSpan@Foundation@Windows@@$00@Platform@@@Z	72
14749	??$__abi_winrt_ptrto_array_ctor@VPoint@Foundation@Windows@@$00@@YAPAXQ$01$ADV?$Array@VPoint@Foundation@Windows@@$00@Platform@@@Z	72
14791	??$__abi_winrt_ptrto_array_ctor@VSize@Foundation@Windows@@$00@@YAPAXQ$01$ADV?$Array@VSize@Foundation@Windows@@$00@Platform@@@Z	72
147d9	??$__abi_winrt_ptrto_array_ctor@VRect@Foundation@Windows@@$00@@YAPAXQ$01$ADV?$Array@VRect@Foundation@Windows@@$00@Platform@@@Z	72
14821	??$CreateSystemPropertyValue@E@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
148e9	Catch@100148e9	15
14923	??$CreateSystemPropertyValue@F@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
149eb	Catch@100149eb	15
14a25	??$CreateSystemPropertyValue@G@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
14aed	Catch@10014aed	15
14b27	??$CreateSystemPropertyValue@H@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
14bef	Catch@10014bef	15
14c29	??$CreateSystemPropertyValue@I@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
14cf1	Catch@10014cf1	15
14d2b	??$CreateSystemPropertyValue@_J@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
14df3	Catch@10014df3	15
14e2d	??$CreateSystemPropertyValue@_K@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
14ef5	Catch@10014ef5	15
14f2f	??$CreateSystemPropertyValue@M@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
14ff7	Catch@10014ff7	15
15031	??$CreateSystemPropertyValue@N@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
150f9	Catch@100150f9	15
15133	??$CreateSystemPropertyValue@_W@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
151fb	Catch@100151fb	15
15235	??$CreateSystemPropertyValue@_N@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
152fd	Catch@100152fd	15
15337	??$CreateSystemPropertyValue@P$AAVString@Platform@@@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
153ff	Catch@100153ff	15
15439	??$CreateSystemPropertyValue@P$AAVObject@Platform@@@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
15501	Catch@10015501	15
1553b	??$CreateSystemPropertyValue@VGuid@Platform@@@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
15603	Catch@10015603	15
1563d	??$CreateSystemPropertyValue@VDateTime@Foundation@Windows@@@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
15705	Catch@10015705	15
1573f	??$CreateSystemPropertyValue@VTimeSpan@Foundation@Windows@@@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
15807	Catch@10015807	15
15841	??$CreateSystemPropertyValue@VPoint@Foundation@Windows@@@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
15909	Catch@10015909	15
15943	??$CreateSystemPropertyValue@VSize@Foundation@Windows@@@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
15a0b	Catch@10015a0b	15
15a45	??$CreateSystemPropertyValue@VRect@Foundation@Windows@@@Details@Platform@@YAJPAUIUnknown@@PAPAUIPropertyValuePriv@@@Z	200
15b0d	Catch@10015b0d	15
15b47	?get@?Q?$IBoxArray@F@Platform@@Value@?$Array@F$00@2@U$AAAP$01$AAV42@XZ	12
15b53	?get@?Q?$IBoxArray@G@Platform@@Value@?$Array@G$00@2@U$AAAP$01$AAV42@XZ	12
15b5f	?get@?Q?$IBoxArray@H@Platform@@Value@?$Array@H$00@2@U$AAAP$01$AAV42@XZ	12
15b6b	?get@?Q?$IBoxArray@I@Platform@@Value@?$Array@I$00@2@U$AAAP$01$AAV42@XZ	12
15b77	?get@?Q?$IBoxArray@_J@Platform@@Value@?$Array@_J$00@2@U$AAAP$01$AAV42@XZ	12
15b83	?get@?Q?$IBoxArray@_K@Platform@@Value@?$Array@_K$00@2@U$AAAP$01$AAV42@XZ	12
15b8f	?get@?Q?$IBoxArray@M@Platform@@Value@?$Array@M$00@2@U$AAAP$01$AAV42@XZ	12
15b9b	?get@?Q?$IBoxArray@N@Platform@@Value@?$Array@N$00@2@U$AAAP$01$AAV42@XZ	12
15ba7	?get@?Q?$IBoxArray@_W@Platform@@Value@?$Array@_W$00@2@U$AAAP$01$AAV42@XZ	12
15bb3	?get@?Q?$IBoxArray@_N@Platform@@Value@?$Array@_N$00@2@U$AAAP$01$AAV42@XZ	12
15bbf	?get@?Q?$IBoxArray@P$AAVString@Platform@@@Platform@@Value@?$Array@P$AAVString@Platform@@$00@2@U$AAAP$01$AAV42@XZ	12
15bcb	?get@?Q?$IBoxArray@P$AAVObject@Platform@@@Platform@@Value@?$Array@P$AAVObject@Platform@@$00@2@U$AAAP$01$AAV42@XZ	12
15bd7	?get@?Q?$IBoxArray@VGuid@Platform@@@Platform@@Value@?$Array@VGuid@Platform@@$00@2@U$AAAP$01$AAV42@XZ	12
15be3	?get@?Q?$IBoxArray@VDateTime@Foundation@Windows@@@Platform@@Value@?$Array@VDateTime@Foundation@Windows@@$00@2@U$AAAP$01$AAV42@XZ	12
15bef	?get@?Q?$IBoxArray@VTimeSpan@Foundation@Windows@@@Platform@@Value@?$Array@VTimeSpan@Foundation@Windows@@$00@2@U$AAAP$01$AAV42@XZ	12
15bfb	?get@?Q?$IBoxArray@VPoint@Foundation@Windows@@@Platform@@Value@?$Array@VPoint@Foundation@Windows@@$00@2@U$AAAP$01$AAV42@XZ	12
15c07	?get@?Q?$IBoxArray@VSize@Foundation@Windows@@@Platform@@Value@?$Array@VSize@Foundation@Windows@@$00@2@U$AAAP$01$AAV42@XZ	12
15c13	?get@?Q?$IBoxArray@VRect@Foundation@Windows@@@Platform@@Value@?$Array@VRect@Foundation@Windows@@$00@2@U$AAAP$01$AAV42@XZ	12
15c1f	??0?$Array@F$00@Platform@@Q$AAA@PAFI@Z	108
15c8b	?CopyToOrDetach@?$Array@_W$00@Platform@@A$AAAXPAPA_WPAI@Z	117
15d01	??0?$Array@G$00@Platform@@Q$AAA@PAGI@Z	108
15d6d	??0?$Array@H$00@Platform@@Q$AAA@PAHI@Z	108
15dd9	?CopyToOrDetach@?$Array@I$00@Platform@@A$AAAXPAPAIPAI@Z	117
15e4f	??0?$Array@I$00@Platform@@Q$AAA@PAII@Z	108
15ebb	??0?$Array@_J$00@Platform@@Q$AAA@PA_JI@Z	108
15f27	?CopyToOrDetach@?$Array@VSize@Foundation@Windows@@$00@Platform@@A$AAAXPAPAVSize@Foundation@Windows@@PAI@Z	117
15f9e	??0?$Array@_K$00@Platform@@Q$AAA@PA_KI@Z	108
1600a	??0?$Array@M$00@Platform@@Q$AAA@PAMI@Z	108
16076	?CopyToOrDetach@?$Array@M$00@Platform@@A$AAAXPAPAMPAI@Z	117
160ec	??0?$Array@N$00@Platform@@Q$AAA@PANI@Z	108
16158	?CopyToOrDetach@?$Array@N$00@Platform@@A$AAAXPAPANPAI@Z	117
161ce	??0?$Array@_W$00@Platform@@Q$AAA@PA_WI@Z	108
1623a	??0?$Array@_N$00@Platform@@Q$AAA@PA_NI@Z	108
162a6	??0?$Array@P$AAVString@Platform@@$00@Platform@@Q$AAA@PAP$AAVString@1@I@Z	108
16312	?CopyToOrDetach@?$Array@P$AAVString@Platform@@$00@Platform@@A$AAAXPAPAP$AAVString@2@PAI@Z	117
16388	??0?$Array@P$AAVObject@Platform@@$00@Platform@@Q$AAA@PAP$AAVObject@1@I@Z	108
163f4	?CopyToOrDetach@?$Array@P$AAVObject@Platform@@$00@Platform@@A$AAAXPAPAP$AAVObject@2@PAI@Z	117
1646a	??0?$Array@VGuid@Platform@@$00@Platform@@Q$AAA@PAVGuid@1@I@Z	108
164d6	?CopyToOrDetach@?$Array@VRect@Foundation@Windows@@$00@Platform@@A$AAAXPAPAVRect@Foundation@Windows@@PAI@Z	117
1654c	??0?$Array@VDateTime@Foundation@Windows@@$00@Platform@@Q$AAA@PAVDateTime@Foundation@Windows@@I@Z	108
165b8	??0?$Array@VTimeSpan@Foundation@Windows@@$00@Platform@@Q$AAA@PAVTimeSpan@Foundation@Windows@@I@Z	108
16624	??0?$Array@VPoint@Foundation@Windows@@$00@Platform@@Q$AAA@PAVPoint@Foundation@Windows@@I@Z	108
16690	??0?$Array@VSize@Foundation@Windows@@$00@Platform@@Q$AAA@PAVSize@Foundation@Windows@@I@Z	108
166fc	??0?$Array@VRect@Foundation@Windows@@$00@Platform@@Q$AAA@PAVRect@Foundation@Windows@@I@Z	108
16768	??0?$WriteOnlyArray@F$00@Platform@@I$AAA@PAFI@Z	114
167da	?AllocateAndCopyElements@?$WriteOnlyArray@_W$00@Platform@@KAPA_WPB_WI@Z	91
16836	??0?$WriteOnlyArray@G$00@Platform@@I$AAA@PAGI@Z	114
168a8	??0?$WriteOnlyArray@H$00@Platform@@I$AAA@PAHI@Z	114
1691a	?AllocateAndCopyElements@?$WriteOnlyArray@I$00@Platform@@KAPAIPBII@Z	93
16978	??0?$WriteOnlyArray@I$00@Platform@@I$AAA@PAII@Z	114
169ea	??0?$WriteOnlyArray@_J$00@Platform@@I$AAA@PA_JI@Z	114
16a5c	?AllocateAndCopyElements@?$WriteOnlyArray@VPoint@Foundation@Windows@@$00@Platform@@KAPAVPoint@Foundation@Windows@@PBV345@I@Z	100
16ac1	??0?$WriteOnlyArray@_K$00@Platform@@I$AAA@PA_KI@Z	114
16b33	??0?$WriteOnlyArray@M$00@Platform@@I$AAA@PAMI@Z	114
16ba5	?AllocateAndCopyElements@?$WriteOnlyArray@M$00@Platform@@KAPAMPBMI@Z	93
16c03	??0?$WriteOnlyArray@N$00@Platform@@I$AAA@PANI@Z	114
16c75	?AllocateAndCopyElements@?$WriteOnlyArray@N$00@Platform@@KAPANPBNI@Z	93
16cd3	??0?$WriteOnlyArray@_W$00@Platform@@I$AAA@PA_WI@Z	114
16d45	??0?$WriteOnlyArray@_N$00@Platform@@I$AAA@PA_NI@Z	114
16db7	??0?$WriteOnlyArray@P$AAVString@Platform@@$00@Platform@@I$AAA@PAP$AAVString@1@I@Z	114
16e29	?AllocateAndCopyElements@?$WriteOnlyArray@P$AAVString@Platform@@$00@Platform@@KAPAP$AAVString@2@PBQ$AAV32@I@Z	119
16ea1	??0?$WriteOnlyArray@P$AAVObject@Platform@@$00@Platform@@I$AAA@PAP$AAVObject@1@I@Z	114
16f13	?AllocateAndCopyElements@?$WriteOnlyArray@P$AAVObject@Platform@@$00@Platform@@KAPAP$AAVObject@2@PBQ$AAV32@I@Z	119
16f8b	??0?$WriteOnlyArray@VGuid@Platform@@$00@Platform@@I$AAA@PAVGuid@1@I@Z	114
16ffd	?AllocateAndCopyElements@?$WriteOnlyArray@VGuid@Platform@@$00@Platform@@KAPAVGuid@2@PBV32@I@Z	107
17069	??0?$WriteOnlyArray@VDateTime@Foundation@Windows@@$00@Platform@@I$AAA@PAVDateTime@Foundation@Windows@@I@Z	114
170db	??0?$WriteOnlyArray@VTimeSpan@Foundation@Windows@@$00@Platform@@I$AAA@PAVTimeSpan@Foundation@Windows@@I@Z	114
1714d	??0?$WriteOnlyArray@VPoint@Foundation@Windows@@$00@Platform@@I$AAA@PAVPoint@Foundation@Windows@@I@Z	114
171bf	??0?$WriteOnlyArray@VSize@Foundation@Windows@@$00@Platform@@I$AAA@PAVSize@Foundation@Windows@@I@Z	114
17231	??0?$WriteOnlyArray@VRect@Foundation@Windows@@$00@Platform@@I$AAA@PAVRect@Foundation@Windows@@I@Z	114
172a3	?__abi_GetRuntimeClassName@?QObject@Platform@@?$WriteOnlyArray@VRect@Foundation@Windows@@$00@2@WBA@$AAGJPAPAUHSTRING__@@@Z	10
172ad	?__abi_GetIids@?QObject@Platform@@?$WriteOnlyArray@VSize@Foundation@Windows@@$00@2@W3$AAGJPAKPAPAVGuid@2@@Z	10
172b7	?__abi_GetIids@?QObject@Platform@@?$WriteOnlyArray@P$AAVObject@Platform@@$00@2@W3$AAGJPAKPAPAVGuid@2@@Z	10
172c1	?__abi_GetRuntimeClassName@?QObject@Platform@@?$WriteOnlyArray@P$AAVString@Platform@@$00@2@W7$AAGJPAPAUHSTRING__@@@Z	10
172cb	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@M$00@2@W3$AAGJAAVGuid@2@PAPAX@Z	10
172d5	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@_K$00@2@WM@$AAGJAAVGuid@2@PAPAX@Z	10
172df	?__abi_GetRuntimeClassName@?QObject@Platform@@?$WriteOnlyArray@_J$00@2@W3$AAGJPAPAUHSTRING__@@@Z	10
172e9	?__abi_GetRuntimeClassName@?QObject@Platform@@?$WriteOnlyArray@I$00@2@W3$AAGJPAPAUHSTRING__@@@Z	10
172f3	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@F$00@2@W3$AAGJAAVGuid@2@PAPAX@Z	10
172fd	?__abi_GetIids@?QObject@Platform@@?$Array@VSize@Foundation@Windows@@$00@2@WBE@$AAGJPAKPAPAVGuid@2@@Z	10
17307	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@VPoint@Foundation@Windows@@$00@2@W7$AAGJPAPAUHSTRING__@@@Z	10
17311	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@VTimeSpan@Foundation@Windows@@$00@2@WBA@$AAGJPAPAUHSTRING__@@@Z	10
1731b	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@VGuid@Platform@@$00@2@WEA@$AAGJPAPAUHSTRING__@@@Z	10
17325	?__abi_QueryInterface@?QObject@Platform@@?$Array@VGuid@Platform@@$00@2@WBA@$AAGJAAVGuid@2@PAPAX@Z	10
1732f	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@P$AAVObject@Platform@@$00@2@WCA@$AAGJPAPAUHSTRING__@@@Z	10
17339	?__abi_QueryInterface@?QObject@Platform@@?$Array@P$AAVString@Platform@@$00@2@WBI@$AAGJAAVGuid@2@PAPAX@Z	10
17343	?__abi_QueryInterface@?QObject@Platform@@?$Array@_W$00@2@WDM@$AAGJAAVGuid@2@PAPAX@Z	10
1734d	?__abi_GetIids@?QObject@Platform@@?$Array@N$00@2@WBA@$AAGJPAKPAPAVGuid@2@@Z	10
17357	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@_J$00@2@WBA@$AAGJPAPAUHSTRING__@@@Z	10
17361	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@I$00@2@WCA@$AAGJPAPAUHSTRING__@@@Z	10
1736b	?__abi_GetIids@?QObject@Platform@@?$Array@I$00@2@W3$AAGJPAKPAPAVGuid@2@@Z	10
17375	?__abi_QueryInterface@?QObject@Platform@@?$Array@G$00@2@WBM@$AAGJAAVGuid@2@PAPAX@Z	10
1737f	?__abi_QueryInterface@?QObject@Platform@@?$Array@F$00@2@WBM@$AAGJAAVGuid@2@PAPAX@Z	10
17389	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@VRect@Foundation@Windows@@$00@2@W3$AAGJAAVGuid@2@PAPAX@Z	10
17393	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@VSize@Foundation@Windows@@$00@2@WBA@$AAGJAAVGuid@2@PAPAX@Z	10
1739d	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@P$AAVObject@Platform@@$00@2@WBA@$AAGJAAVGuid@2@PAPAX@Z	10
173a7	?__abi_GetIids@?QObject@Platform@@?$WriteOnlyArray@P$AAVString@Platform@@$00@2@W7$AAGJPAKPAPAVGuid@2@@Z	10
173b1	?__abi_GetRuntimeClassName@?QObject@Platform@@?$WriteOnlyArray@_N$00@2@WBA@$AAGJPAPAUHSTRING__@@@Z	10
173bb	?__abi_GetIids@?QObject@Platform@@?$WriteOnlyArray@_J$00@2@W7$AAGJPAKPAPAVGuid@2@@Z	10
173c5	?__abi_GetIids@?QObject@Platform@@?$WriteOnlyArray@I$00@2@W3$AAGJPAKPAPAVGuid@2@@Z	10
173cf	?__abi_GetRuntimeClassName@?QObject@Platform@@?$WriteOnlyArray@G$00@2@WBA@$AAGJPAPAUHSTRING__@@@Z	10
173d9	?__abi_GetIids@?QObject@Platform@@?$Array@VRect@Foundation@Windows@@$00@2@WCA@$AAGJPAKPAPAVGuid@2@@Z	10
173e3	?__abi_QueryInterface@?QObject@Platform@@?$Array@VRect@Foundation@Windows@@$00@2@WM@$AAGJAAVGuid@2@PAPAX@Z	10
173ed	?__abi_QueryInterface@?QObject@Platform@@?$Array@VSize@Foundation@Windows@@$00@2@WCA@$AAGJAAVGuid@2@PAPAX@Z	10
173f7	?__abi_GetIids@?QObject@Platform@@?$Array@VPoint@Foundation@Windows@@$00@2@WM@$AAGJPAKPAPAVGuid@2@@Z	10
17401	?__abi_GetIids@?QObject@Platform@@?$Array@VTimeSpan@Foundation@Windows@@$00@2@WBE@$AAGJPAKPAPAVGuid@2@@Z	10
1740b	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@P$AAVObject@Platform@@$00@2@WEA@$AAGJPAPAUHSTRING__@@@Z	10
17415	?__abi_GetIids@?QObject@Platform@@?$Array@P$AAVObject@Platform@@$00@2@WCA@$AAGJPAKPAPAVGuid@2@@Z	10
1741f	?__abi_QueryInterface@?QObject@Platform@@?$Array@P$AAVObject@Platform@@$00@2@WBA@$AAGJAAVGuid@2@PAPAX@Z	10
17429	?__abi_GetIids@?QObject@Platform@@?$Array@_N$00@2@WCA@$AAGJPAKPAPAVGuid@2@@Z	10
17433	?__abi_QueryInterface@?QObject@Platform@@?$Array@_N$00@2@WBA@$AAGJAAVGuid@2@PAPAX@Z	10
1743d	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@_W$00@2@WBA@$AAGJPAPAUHSTRING__@@@Z	10
17447	?__abi_QueryInterface@?QObject@Platform@@?$Array@N$00@2@WBM@$AAGJAAVGuid@2@PAPAX@Z	10
17451	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@M$00@2@WCA@$AAGJPAPAUHSTRING__@@@Z	10
1745b	?__abi_GetIids@?QObject@Platform@@?$Array@M$00@2@W3$AAGJPAKPAPAVGuid@2@@Z	10
17465	?__abi_GetIids@?QObject@Platform@@?$Array@_J$00@2@WBE@$AAGJPAKPAPAVGuid@2@@Z	10
1746f	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@I$00@2@WEA@$AAGJPAPAUHSTRING__@@@Z	10
17479	?__abi_QueryInterface@?QObject@Platform@@?$Array@I$00@2@WBA@$AAGJAAVGuid@2@PAPAX@Z	10
17483	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@H$00@2@WBI@$AAGJPAPAUHSTRING__@@@Z	10
1748d	?__abi_QueryInterface@?QObject@Platform@@?$Array@G$00@2@WDM@$AAGJAAVGuid@2@PAPAX@Z	10
17497	?__abi_QueryInterface@?QObject@Platform@@?$Array@F$00@2@WDM@$AAGJAAVGuid@2@PAPAX@Z	10
174a1	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@VDateTime@Foundation@Windows@@$00@2@WM@$AAGJAAVGuid@2@PAPAX@Z	10
174ab	?__abi_GetIids@?QObject@Platform@@?$WriteOnlyArray@N$00@2@WBA@$AAGJPAKPAPAVGuid@2@@Z	10
174b5	?__abi_GetIids@?QObject@Platform@@?$Array@VRect@Foundation@Windows@@$00@2@WEA@$AAGJPAKPAPAVGuid@2@@Z	10
174bf	?__abi_QueryInterface@?QObject@Platform@@?$Array@VSize@Foundation@Windows@@$00@2@WEA@$AAGJAAVGuid@2@PAPAX@Z	10
174c9	?__abi_QueryInterface@?QObject@Platform@@?$Array@VPoint@Foundation@Windows@@$00@2@WBM@$AAGJAAVGuid@2@PAPAX@Z	10
174d3	?__abi_QueryInterface@?QObject@Platform@@?$Array@VTimeSpan@Foundation@Windows@@$00@2@WCA@$AAGJAAVGuid@2@PAPAX@Z	10
174dd	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@VDateTime@Foundation@Windows@@$00@2@WBI@$AAGJPAPAUHSTRING__@@@Z	10
174e7	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@VGuid@Platform@@$00@2@W3$AAGJPAPAUHSTRING__@@@Z	10
174f1	?__abi_GetIids@?QObject@Platform@@?$Array@P$AAVObject@Platform@@$00@2@WEA@$AAGJPAKPAPAVGuid@2@@Z	10
174fb	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@P$AAVString@Platform@@$00@2@WM@$AAGJPAPAUHSTRING__@@@Z	10
17505	?__abi_GetIids@?QObject@Platform@@?$Array@_N$00@2@WEA@$AAGJPAKPAPAVGuid@2@@Z	10
1750f	?__abi_GetIids@?QObject@Platform@@?$Array@_W$00@2@WBE@$AAGJPAKPAPAVGuid@2@@Z	10
17519	?__abi_QueryInterface@?QObject@Platform@@?$Array@N$00@2@WDM@$AAGJAAVGuid@2@PAPAX@Z	10
17523	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@M$00@2@WEA@$AAGJPAPAUHSTRING__@@@Z	10
1752d	?__abi_QueryInterface@?QObject@Platform@@?$Array@M$00@2@WBE@$AAGJAAVGuid@2@PAPAX@Z	10
17537	?__abi_GetIids@?QObject@Platform@@?$Array@_K$00@2@WCA@$AAGJPAKPAPAVGuid@2@@Z	10
17541	?__abi_QueryInterface@?QObject@Platform@@?$Array@_K$00@2@WM@$AAGJAAVGuid@2@PAPAX@Z	10
1754b	?__abi_QueryInterface@?QObject@Platform@@?$Array@_J$00@2@WCA@$AAGJAAVGuid@2@PAPAX@Z	10
17555	?__abi_QueryInterface@?QObject@Platform@@?$Array@H$00@2@W7$AAGJAAVGuid@2@PAPAX@Z	10
1755f	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@G$00@2@WM@$AAGJPAPAUHSTRING__@@@Z	10
17569	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@F$00@2@WBA@$AAGJPAPAUHSTRING__@@@Z	10
17573	?__abi_GetRuntimeClassName@?QObject@Platform@@?$WriteOnlyArray@VSize@Foundation@Windows@@$00@2@W3$AAGJPAPAUHSTRING__@@@Z	10
1757d	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@VPoint@Foundation@Windows@@$00@2@W7$AAGJAAVGuid@2@PAPAX@Z	10
17587	?__abi_GetRuntimeClassName@?QObject@Platform@@?$WriteOnlyArray@P$AAVObject@Platform@@$00@2@W3$AAGJPAPAUHSTRING__@@@Z	10
17591	?<Dispose>@?QIDisposable@Platform@@?$WriteOnlyArray@P$AAVString@Platform@@$00@2@W3$AAAXXZ	10
1759b	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@_W$00@2@W3$AAGJAAVGuid@2@PAPAX@Z	10
175a5	?__abi_GetIids@?QObject@Platform@@?$WriteOnlyArray@_K$00@2@W3$AAGJPAKPAPAVGuid@2@@Z	10
175af	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@H$00@2@W3$AAGJAAVGuid@2@PAPAX@Z	10
175b9	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@VSize@Foundation@Windows@@$00@2@WBE@$AAGJPAPAUHSTRING__@@@Z	10
175c3	?__abi_QueryInterface@?QObject@Platform@@?$Array@VPoint@Foundation@Windows@@$00@2@WDM@$AAGJAAVGuid@2@PAPAX@Z	10
175cd	?__abi_QueryInterface@?QObject@Platform@@?$Array@VTimeSpan@Foundation@Windows@@$00@2@WEA@$AAGJAAVGuid@2@PAPAX@Z	10
175d7	?__abi_GetIids@?QObject@Platform@@?$Array@VDateTime@Foundation@Windows@@$00@2@WBI@$AAGJPAKPAPAVGuid@2@@Z	10
175e1	?__abi_QueryInterface@?QObject@Platform@@?$Array@VDateTime@Foundation@Windows@@$00@2@W7$AAGJAAVGuid@2@PAPAX@Z	10
175eb	?__abi_GetIids@?QObject@Platform@@?$Array@VGuid@Platform@@$00@2@W7$AAGJPAKPAPAVGuid@2@@Z	10
175f5	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@P$AAVObject@Platform@@$00@2@W3$AAGJPAPAUHSTRING__@@@Z	10
175ff	?__abi_GetIids@?QObject@Platform@@?$Array@P$AAVString@Platform@@$00@2@WBA@$AAGJPAKPAPAVGuid@2@@Z	10
17609	?__abi_Platform_IDisposable____abi_<Dispose>@?QIDisposable@Platform@@?$Array@P$AAVString@Platform@@$00@2@WM@$AAGJXZ	10
17613	?__abi_QueryInterface@?QObject@Platform@@?$Array@_W$00@2@WCA@$AAGJAAVGuid@2@PAPAX@Z	10
1761d	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@N$00@2@WBA@$AAGJPAPAUHSTRING__@@@Z	10
17627	?__abi_GetIids@?QObject@Platform@@?$Array@_K$00@2@WEA@$AAGJPAKPAPAVGuid@2@@Z	10
17631	?__abi_QueryInterface@?QObject@Platform@@?$Array@_J$00@2@WEA@$AAGJAAVGuid@2@PAPAX@Z	10
1763b	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@I$00@2@W3$AAGJPAPAUHSTRING__@@@Z	10
17645	?__abi_GetIids@?QObject@Platform@@?$Array@G$00@2@WBA@$AAGJPAKPAPAVGuid@2@@Z	10
1764f	?__abi_GetIids@?QObject@Platform@@?$Array@F$00@2@WBE@$AAGJPAKPAPAVGuid@2@@Z	10
17659	?__abi_GetIids@?QObject@Platform@@?$WriteOnlyArray@VSize@Foundation@Windows@@$00@2@W7$AAGJPAKPAPAVGuid@2@@Z	10
17663	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@VTimeSpan@Foundation@Windows@@$00@2@W3$AAGJAAVGuid@2@PAPAX@Z	10
1766d	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@VGuid@Platform@@$00@2@W3$AAGJAAVGuid@2@PAPAX@Z	10
17677	?__abi_GetIids@?QObject@Platform@@?$WriteOnlyArray@P$AAVObject@Platform@@$00@2@W7$AAGJPAKPAPAVGuid@2@@Z	10
17681	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@M$00@2@W7$AAGJAAVGuid@2@PAPAX@Z	10
1768b	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@_K$00@2@WBA@$AAGJAAVGuid@2@PAPAX@Z	10
17695	?__abi_GetRuntimeClassName@?QObject@Platform@@?$WriteOnlyArray@_J$00@2@W7$AAGJPAPAUHSTRING__@@@Z	10
1769f	?__abi_GetRuntimeClassName@?QObject@Platform@@?$WriteOnlyArray@I$00@2@W7$AAGJPAPAUHSTRING__@@@Z	10
176a9	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@F$00@2@W7$AAGJAAVGuid@2@PAPAX@Z	10
